Tactic 	Technique	Procedure	Indicator
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	12 accounts
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	32 Pages
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	5 Groups 
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.2 Acquiring Instagram accounts	3 accounts
			
1. Disguising assets	1.1 Adopting visual disguise	1.1.2 Using profile pictures like created using generative adversarial networks (GAN)	Some of these accounts used profile photos likely created using Generative Adversarial Networks (GAN). 
1. Disguising assets	1.3 Posing as non-existent institution	1.3.2 Creating fictitious NGO	The people behind this operation managed pages posing as Ukrainian organizations
1. Disguising assets	1.4 Impersonating real person	1.4.3 Impersonating public figure	The people behind this operation impersonated public figures in the West including some pro-Russia commentators.   
			
5. Evading detection	5.4 Copying authentic content	5.4.2 Copying authentic social media posts	This cluster posted content copied from public figures in the West including some pro-Russia commentators that this operation tried to impersonate.
5. Evading detection	5.5 Obfuscating infrastructure	5.5.1 Using proxy IP in target country	This operation used proxy IP addresses to appear to be based in the regions it targeted.
			
7. Targeted engagement	7.1 Running ads	7.1.1 Advertising to promote content	Around $41,000 in spending for ads on Facebook, paid for mostly in Sri Lankan rupees and US dollars.
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.2 Acquiring Page followers	About 23,000 accounts followed one or more of these Pages,
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.4 Acquiring Instagram followers	About 280 accounts followed one or more of these Instagram accounts.
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.3 Acquiring Group members	Around 18,500 accounts joined one or more of these Groups
7. Targeted engagement	7.6 Posting about individuals or institutions	7.6.1 Posting negative content about named individuals or institutions	The Ukraine cluster posted about domestic politics, conscription, claims of disinformation, and criticism of the government and President Zelenskyy.
7. Targeted engagement	7.6 Posting about individuals or institutions	7.6.1 Posting negative content about named individuals or institutions	In Polish, this network posted about Ukrainian migrants, including suggesting that Polish schools should teach students Ukrainian language, history and literature to help Ukrainian refugees to feel more comfortable in Poland.
7. Targeted engagement	7.6 Posting about individuals or institutions	7.6.1 Posting negative content about named individuals or institutions	The efforts targeted at the EU and US focused primarily on posting about Western aid provided to Ukraine, war casualties among Ukrainian soldiers, claims that Ukraineâ€™s government has failed to protect its people, and criticism of the West for providing lethal weapons to Ukraine and for allowing war crimes in Gaza.